Date,Open,High,Low,Close,Volume,Adj Close
2014-10-20,30.209999,31.209999,30.139999,30.93,3553500,30.93
2014-10-17,31.389999,32.00,29.799999,30.440001,3679100,30.440001
2014-10-16,28.91,30.889999,28.709999,30.43,6323600,30.43
2014-10-15,29.32,30.620001,27.940001,29.66,9857000,29.66
2014-10-14,31.309999,32.18,29.709999,30.02,6941500,30.02
2014-10-13,33.189999,33.73,31.190001,31.280001,4458400,31.280001
2014-10-10,35.27,35.439999,32.91,33.419998,5083700,33.419998
2014-10-09,37.91,38.110001,35.310001,35.50,3329500,35.50
2014-10-08,37.830002,38.490002,36.689999,38.389999,6007400,38.389999
2014-10-07,39.290001,39.720001,37.970001,38.169998,1759700,38.169998
2014-10-06,39.75,40.43,39.110001,39.580002,1713100,39.580002
2014-10-03,40.759998,40.84,39.52,39.580002,2242200,39.580002
2014-10-02,39.68,41.09,38.259998,40.66,4822100,40.66
2014-10-01,41.900002,41.900002,39.43,40.029999,3689600,40.029999
2014-09-30,42.380001,42.450001,41.240002,41.810001,3381300,41.810001
2014-09-29,41.82,42.599998,41.73,42.439999,2189000,42.439999
2014-09-26,41.599998,42.959999,41.400002,42.560001,1738900,42.560001
2014-09-25,41.68,42.200001,41.00,41.709999,2301700,41.709999
2014-09-24,41.540001,42.509998,40.849998,42.009998,2686000,42.009998
2014-09-23,42.419998,42.990002,41.150002,41.439999,3502800,41.439999
2014-09-22,42.889999,42.959999,41.25,42.509998,4250300,42.509998
2014-09-19,44.02,44.349998,42.900002,43.080002,2480100,43.080002
2014-09-18,45.790001,45.98,43.049999,43.959999,3416000,43.959999
2014-09-17,46.959999,47.060001,45.98,46.049999,1188100,46.049999
2014-09-16,46.259998,47.18,46.139999,46.759998,1314700,46.759998
2014-09-15,46.310001,46.810001,45.799999,46.18,1328200,46.18
2014-09-12,47.240002,47.34,46.099998,46.310001,1339200,46.310001
2014-09-11,45.779999,47.560001,45.259998,47.360001,1642700,47.360001
2014-09-10,45.41,46.400002,44.709999,46.32,1717700,46.32
2014-09-09,46.00,46.619999,44.959999,45.529999,1171800,45.529999
2014-09-08,47.18,47.220001,45.619999,46.110001,1982100,46.110001
2014-09-05,46.860001,47.919998,46.860001,47.68,1577200,47.68
2014-09-04,47.619999,48.529999,46.470001,46.91,1701800,46.91
2014-09-03,48.34,48.779999,48.049999,48.259998,1150000,48.259998
